lat,lng,duration,distance,city
-36.75341,174.738535,1130,15506,Auckland
-36.764715,174.733405,1010,12449,Auckland
-36.869384,174.824309,1033,9920,Auckland
-36.891195,174.819639,1171,10003,Auckland
-36.909774,174.757952,1310,8325,Auckland
-36.928187,174.748633,1188,17813,Auckland
-36.915052,174.630895,1794,19378,Auckland
-36.881081,174.730309,833,8066,Auckland
-36.883888,174.715602,927,8990,Auckland
-36.871341,174.746846,841,4495,Auckland
-36.888203,174.752066,1049,6484,Auckland
-36.90574,174.734064,1124,14030,Auckland
-36.887579,174.732961,955,8933,Auckland
-36.844281,174.624435,1147,17256,Auckland
-36.874462,174.627128,1370,17982,Auckland
-36.878511,174.911347,2231,21249,Auckland
-36.888195,174.899659,2122,20042,Auckland
-36.89256,174.924516,2210,21058,Auckland
-36.906888,174.918129,2205,21598,Auckland
-36.726959,174.698001,1258,19510,Auckland
-36.794228,174.701224,1191,12267,Auckland
-36.908107,174.676174,1291,14535,Auckland
-36.884636,174.715537,943,9045,Auckland
-36.866223,174.758677,725,3246,Auckland
-36.922123,174.787964,1266,11795,Auckland
-36.908143,174.838595,1453,14121,Auckland
-36.869178,174.82674,1045,9912,Auckland
-36.851308,174.830563,786,7578,Auckland
-37.06526,174.943323,1980,34528,Auckland
-37.022488,174.899023,1949,36290,Auckland
-36.999136,174.87779,1695,31566,Auckland
-36.979706,174.854074,1797,30364,Auckland
-36.909307,174.677573,1468,15964,Auckland
-36.931649,174.675057,1526,19567,Auckland
-36.840413,174.652539,1059,15511,Auckland
-36.908556,174.942122,2439,23463,Auckland
-36.991711,174.758997,1706,29702,Auckland
-37.019107,174.863377,1833,31751,Auckland
-36.957728,174.804936,1482,23178,Auckland
-36.917653,174.887194,1913,17502,Auckland
-36.944234,174.894125,2186,20457,Auckland
