lat,lng,duration,distance,city
-36.75341,174.738535,2463,13604,Auckland
-36.764715,174.733405,2153,13125,Auckland
-36.869384,174.824309,1051,6101,Auckland
-36.891195,174.819639,2053,9689,Auckland
-36.909774,174.757952,2452,15482,Auckland
-36.928187,174.748633,3688,18857,Auckland
-36.915052,174.630895,3972,20917,Auckland
-36.881081,174.730309,2295,9549,Auckland
-36.883888,174.715602,1860,10916,Auckland
-36.871341,174.746846,1462,7782,Auckland
-36.888203,174.752066,2777,9778,Auckland
-36.90574,174.734064,3464,12052,Auckland
-36.887579,174.732961,2694,10093,Auckland
-36.844281,174.624435,4550,26851,Auckland
-36.874462,174.627128,3361,24020,Auckland
-36.878511,174.911347,3441,18480,Auckland
-36.888195,174.899659,3357,17556,Auckland
-36.89256,174.924516,3695,20098,Auckland
-36.906888,174.918129,3818,21983,Auckland
-36.726959,174.698001,3627,19656,Auckland
-36.794228,174.701224,2123,12796,Auckland
-36.908107,174.676174,2712,15778,Auckland
-36.884636,174.715537,1875,10942,Auckland
-36.866223,174.758677,1404,6514,Auckland
-36.922123,174.787964,1810,13455,Auckland
-36.908143,174.838595,1999,14641,Auckland
-36.869178,174.82674,1254,6381,Auckland
-36.851308,174.830563,1635,7900,Auckland
-37.06526,174.943323,3336,31530,Auckland
-37.022488,174.899023,2953,25271,Auckland
-36.999136,174.87779,2739,26012,Auckland
-36.979706,174.854074,2168,22001,Auckland
-36.909307,174.677573,2533,15561,Auckland
-36.931649,174.675057,4149,18631,Auckland
-36.840413,174.652539,4548,20781,Auckland
-36.908556,174.942122,4342,24048,Auckland
-37.019107,174.863377,3376,23899,Auckland
-36.957728,174.804936,2951,17879,Auckland
-36.917653,174.887194,2578,16517,Auckland
-36.944234,174.894125,3627,28430,Auckland
