lat,lng,duration,distance,city
-43.58464,172.508897,1169,14780,Christchurch
-43.590017,172.569161,1091,9965,Christchurch
-43.602402,172.716853,1153,11715,Christchurch
-43.531238,172.530928,1228,12388,Christchurch
-43.512321,172.508894,1334,11551,Christchurch
-43.514897,172.553727,1011,9187,Christchurch
-43.508775,172.574855,786,6857,Christchurch
-43.489716,172.544442,1089,10203,Christchurch
-43.473698,172.617146,805,7180,Christchurch
-43.444412,172.636998,1086,11153,Christchurch
-43.432633,172.650025,1137,12783,Christchurch
-43.473675,172.669969,952,8871,Christchurch
-43.474927,172.702657,1085,10894,Christchurch
-43.485921,172.720845,1086,10485,Christchurch
-43.495385,172.710766,924,8700,Christchurch
-43.506262,172.728909,932,8711,Christchurch
-43.523699,172.732884,905,9066,Christchurch
-43.51094,172.716877,901,8510,Christchurch
-43.510391,172.701179,794,6948,Christchurch
-43.500099,172.687728,789,7087,Christchurch
-43.507975,172.662185,688,5277,Christchurch
-43.497648,172.642873,562,4443,Christchurch
-43.508075,172.645916,462,3328,Christchurch
-43.517584,172.659714,489,3361,Christchurch
-43.517167,172.701524,701,6150,Christchurch
-43.516633,172.687137,633,5331,Christchurch
-43.533701,172.673108,587,4022,Christchurch
-43.547308,172.679055,711,5487,Christchurch
-43.562376,172.675771,758,5799,Christchurch
-43.549292,172.659849,634,3940,Christchurch
-43.557992,172.636871,586,3059,Christchurch
-43.567808,172.63492,714,4222,Christchurch
-43.558384,172.619946,628,4281,Christchurch
-43.57008,172.590763,871,7056,Christchurch
-43.552464,172.568158,916,9120,Christchurch
-43.53168,172.574332,880,5820,Christchurch
-43.551946,172.51736,1013,13092,Christchurch
-43.543456,172.525506,1220,14928,Christchurch
-43.520093,172.533952,1195,12880,Christchurch
-43.576125,172.70372,977,8700,Christchurch
-43.574413,172.763535,1391,13998,Christchurch
-43.512949,172.622398,421,2856,Christchurch
-43.541852,172.614271,489,2911,Christchurch
-43.531884,172.657639,392,2115,Christchurch
-43.563748,172.660022,734,4952,Christchurch
-43.479607,172.700085,1026,10277,Christchurch
-43.516836,172.572088,862,7271,Christchurch
-43.641843,172.47046,1489,21915,Christchurch
-43.58191,172.409637,1606,23114,Christchurch
-43.518595,172.590306,649,5225,Christchurch
