lat,lng,duration,distance,city
-41.072184,174.860037,1812,27963,Wellington
-41.15544,174.83548,1317,17919,Wellington
-41.178922,174.821848,1100,15253,Wellington
-41.129259,174.832848,1341,20956,Wellington
-41.254657,174.764082,707,6440,Wellington
-41.213739,174.869182,1091,13330,Wellington
-41.215958,174.894373,1062,13909,Wellington
-41.215184,174.926403,1278,17916,Wellington
-41.14532,175.03054,1747,28385,Wellington
-41.155545,174.978026,1419,23075,Wellington
-41.282153,174.73967,579,5009,Wellington
-41.281322,174.751049,386,3680,Wellington
-41.282902,174.760791,251,1999,Wellington
-41.269324,174.755727,471,3893,Wellington
-41.262098,174.771132,520,3687,Wellington
-41.26471,174.781603,431,2977,Wellington
-41.275388,174.772378,276,1360,Wellington
-41.27542,174.76255,398,3011,Wellington
-41.289481,174.75813,388,3444,Wellington
-41.288417,174.764653,324,2250,Wellington
-41.292577,174.758859,448,3991,Wellington
-41.283031,174.771004,167,903,Wellington
-41.286901,174.773237,200,1095,Wellington
-41.295704,174.766499,418,3956,Wellington
-41.30436,174.777654,531,4974,Wellington
-41.302029,174.773721,476,4408,Wellington
-41.292637,174.786935,441,2340,Wellington
-41.297614,174.787135,519,2771,Wellington
-41.289274,174.802318,809,4861,Wellington
-41.291374,174.794803,507,2883,Wellington
-41.298913,174.803242,880,5289,Wellington
-41.304154,174.794271,620,5914,Wellington
-41.306631,174.763274,547,5005,Wellington
-41.315654,174.769062,734,6647,Wellington
-41.293995,174.745244,604,5252,Wellington
-41.345142,174.768771,1025,10838,Wellington
-41.340982,174.785529,1095,10794,Wellington
-41.332269,174.782759,1003,8316,Wellington
-41.325314,174.832745,1402,10717,Wellington
-41.317875,174.818772,1154,8565,Wellington
-41.302651,174.820633,1266,9805,Wellington
-41.220619,174.807044,978,11185,Wellington
-41.250606,174.774322,665,5973,Wellington
-41.25122,174.794796,901,8176,Wellington
-41.319761,174.798538,930,6548,Wellington
-41.313123,174.783613,733,7266,Wellington
-41.288732,174.72348,772,6788,Wellington
-41.262277,174.947742,1584,21073,Wellington
-41.296066,174.776434,427,2042,Wellington
